Polygenic Score (PGS) ID,Stage of PGS Development,Number of Individuals,Number of Cases,Number of Controls,Percent of Participants Who are Male,Sample Age,Broad Ancestry Category,"Ancestry (e.g. French, Chinese)",Country of Recruitment,Additional Ancestry Description,Phenotype Definitions and Methods,Followup Time,GWAS Catalog Study ID (GCST...),Source PubMed ID (PMID),Source DOI,Cohort(s),Additional Sample/Cohort Information
PGS000001,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000002,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000003,Source of Variant Associations (GWAS),22627.0,,,,,European,,"Finland, Sweden, U.S., Australia, Netherlands, Germany, U.K.",,,,GCST001937,23535729,,,
PGS000004,Source of Variant Associations (GWAS),158648.0,88916.0,69732.0,0.0,,European,,,,Invasive breast cancer-affected,,,,,ABCFS|MCCS|HMBCS|LMBC|MTLGEBCS|CGPS|KBCP|OBCS|CECILE|BBCC|BSUCH|ESTHER|GENICA|MARIE|SKKDKFZS|BIGGS|ABCS|ORIGO|SZBCS|PBCS|SASBAC|SBCS|SEARCH|MCBCS|NBHS|CTS|MEC|2SISTER|ABCTB|AOCS|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BREOGAN|CBCS|CCGP|CNIO-BCS|CPSII|DIETCOMPLYF|GC-HBOC|GEPARSIXTO|GESBC|HEBCS|HUOCS|KARBAC|MABCS|MBCSG|MISS|MMHS|MSKCC|NBCS|NC-BCFR|OFBCR|POSH|PREFACE|RBCS|SMC|SUCCESSB|SUCCESSC|TNBCC|UCIBCS|UKOPS|WHI|pKARMA|HCSC,Training Cohort
PGS000004,Score Development/Training,10444.0,5159.0,5285.0,0.0,,European,,,,Invasive breast cancer-affected,,,,,MCCS|HMBCS|LMBC|CGPS|BBCC|GENICA|ORIGO|PBCS|SEARCH|MCBCS|NBHS|CTS|ABCTB|BCEES|BCINIS|BREOGAN|CBCS|CCGP|CPSII|MISS|MMHS|SMC|UCIBCS|WHI|pKARMA,Validation Cohort
PGS000005,Source of Variant Associations (GWAS),87368.0,55391.0,31977.0,0.0,,European,,,,ER-positive breast cancer cases,,,,,ABCFS|MCCS|HMBCS|LMBC|MTLGEBCS|CGPS|KBCP|OBCS|CECILE|BBCC|BSUCH|ESTHER|GENICA|MARIE|SKKDKFZS|BIGGS|ABCS|ORIGO|SZBCS|PBCS|SASBAC|SBCS|SEARCH|MCBCS|NBHS|CTS|MEC|2SISTER|ABCTB|AOCS|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BREOGAN|CBCS|CCGP|CNIO-BCS|CPSII|DIETCOMPLYF|GC-HBOC|GEPARSIXTO|GESBC|HEBCS|HUOCS|KARBAC|MABCS|MBCSG|MISS|MMHS|MSKCC|NBCS|NC-BCFR|OFBCR|POSH|PREFACE|RBCS|SMC|SUCCESSB|SUCCESSC|TNBCC|UCIBCS|UKOPS|WHI|HCSC|pKARMA,Training Cohort
PGS000005,Score Development/Training,5159.0,4233.0,926.0,0.0,,European,,,,ER-positive breast cancer cases,,,,,MCCS|HMBCS|LMBC|CGPS|BBCC|GENICA|ORIGO|PBCS|SEARCH|MCBCS|NBHS|CTS|ABCTB|BCEES|BCINIS|BREOGAN|CBCS|CCGP|CPSII|MISS|MMHS|SMC|UCIBCS|WHI|pKARMA,Validation Cohort
PGS000006,Source of Variant Associations (GWAS),87368.0,15404.0,71964.0,0.0,,European,,,,ER-negative breast cancer cases,,,,,ABCFS|MCCS|HMBCS|LMBC|MTLGEBCS|CGPS|KBCP|OBCS|CECILE|BBCC|BSUCH|ESTHER|GENICA|MARIE|SKKDKFZS|BIGGS|ABCS|ORIGO|SZBCS|PBCS|SASBAC|SBCS|SEARCH|MCBCS|NBHS|CTS|MEC|2SISTER|ABCTB|AOCS|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BREOGAN|CBCS|CCGP|CNIO-BCS|CPSII|DIETCOMPLYF|GC-HBOC|GEPARSIXTO|GESBC|HEBCS|HUOCS|KARBAC|MABCS|MBCSG|MISS|MMHS|MSKCC|NBCS|NC-BCFR|OFBCR|POSH|PREFACE|RBCS|SMC|SUCCESSB|SUCCESSC|TNBCC|UCIBCS|UKOPS|WHI|HCSC|pKARMA,Training Cohort
PGS000006,Score Development/Training,5159.0,926.0,4233.0,0.0,,European,,,,ER-negative breast cancer cases,,,,,MCCS|HMBCS|LMBC|CGPS|BBCC|GENICA|ORIGO|PBCS|SEARCH|MCBCS|NBHS|CTS|ABCTB|BCEES|BCINIS|BREOGAN|CBCS|CCGP|CPSII|MISS|MMHS|SMC|UCIBCS|WHI|pKARMA,Validation Cohort
PGS000007,Source of Variant Associations (GWAS),158648.0,88916.0,69732.0,0.0,,European,,,,Invasive breast cancer-affected,,,,,ABCFS|MCCS|HMBCS|LMBC|MTLGEBCS|CGPS|KBCP|OBCS|CECILE|BBCC|BSUCH|ESTHER|GENICA|MARIE|SKKDKFZS|BIGGS|ABCS|ORIGO|SZBCS|PBCS|SASBAC|SBCS|SEARCH|MCBCS|NBHS|CTS|MEC|2SISTER|ABCTB|AOCS|BBCS|BCEES|BCFR-NY|BCFR-PA|BCFR-UTAH|BCINIS|BREOGAN|CBCS|CCGP|CNIO-BCS|CPSII|DIETCOMPLYF|GC-HBOC|GEPARSIXTO|GESBC|HEBCS|HUOCS|KARBAC|MABCS|MBCSG|MISS|MMHS|MSKCC|NBCS|NC-BCFR|OFBCR|POSH|PREFACE|RBCS|SMC|SUCCESSB|SUCCESSC|TNBCC|UCIBCS|UKOPS|WHI|pKARMA|HCSC,Training Cohort
