/Users/zhaoqianxue/anaconda3/lib/python3.11/site-packages/pandas/core/arrays/masked.py:61: UserWarning: Pandas requires version '1.3.6' or newer of 'bottleneck' (version '1.3.5' currently installed).
  from pandas.core import (
[*] Detected total rows: 304391
[*] Total Target Rows: 304391
[*] Remaining Batches: 3044 (Batch Size: 100)
[*] Parallel Workers: 10
--------------------------------------------------

[+] PROGRESS:   0.03% | Batches Done: 1/3044 | ETA: 67.3 min
[+] PROGRESS:   0.07% | Batches Done: 2/3044 | ETA: 35.6 min
[+] PROGRESS:   0.10% | Batches Done: 3/3044 | ETA: 49.2 min
[+] PROGRESS:   0.13% | Batches Done: 4/3044 | ETA: 51.0 min
[+] PROGRESS:   0.16% | Batches Done: 5/3044 | ETA: 42.5 min
[+] PROGRESS:   0.20% | Batches Done: 6/3044 | ETA: 40.2 min
[+] PROGRESS:   0.23% | Batches Done: 7/3044 | ETA: 37.9 min
[+] PROGRESS:   0.26% | Batches Done: 8/3044 | ETA: 37.1 min
[+] PROGRESS:   0.30% | Batches Done: 9/3044 | ETA: 35.7 min
[+] PROGRESS:   0.33% | Batches Done: 10/3044 | ETA: 34.6 min
[+] PROGRESS:   0.36% | Batches Done: 11/3044 | ETA: 34.4 min
[+] PROGRESS:   0.39% | Batches Done: 12/3044 | ETA: 33.4 min
[+] PROGRESS:   0.43% | Batches Done: 13/3044 | ETA: 36.6 min
[+] PROGRESS:   0.46% | Batches Done: 14/3044 | ETA: 35.8 min
[+] PROGRESS:   0.49% | Batches Done: 15/3044 | ETA: 35.2 min
[+] PROGRESS:   0.53% | Batches Done: 16/3044 | ETA: 34.8 min
[+] PROGRESS:   0.56% | Batches Done: 17/3044 | ETA: 34.4 min
[+] PROGRESS:   0.59% | Batches Done: 18/3044 | ETA: 34.0 min
[+] PROGRESS:   0.62% | Batches Done: 19/3044 | ETA: 33.8 min
[+] PROGRESS:   0.66% | Batches Done: 20/3044 | ETA: 33.6 min
[+] PROGRESS:   0.69% | Batches Done: 21/3044 | ETA: 33.3 min
[+] PROGRESS:   0.72% | Batches Done: 22/3044 | ETA: 34.8 min
[+] PROGRESS:   0.76% | Batches Done: 23/3044 | ETA: 34.7 min
[+] PROGRESS:   0.79% | Batches Done: 24/3044 | ETA: 34.5 min
[+] PROGRESS:   0.82% | Batches Done: 25/3044 | ETA: 34.4 min
[+] PROGRESS:   0.85% | Batches Done: 26/3044 | ETA: 34.2 min
[+] PROGRESS:   0.89% | Batches Done: 27/3044 | ETA: 34.0 min
[+] PROGRESS:   0.92% | Batches Done: 28/3044 | ETA: 34.1 min
[+] PROGRESS:   0.95% | Batches Done: 29/3044 | ETA: 33.6 min
[+] PROGRESS:   0.99% | Batches Done: 30/3044 | ETA: 33.5 min
[+] PROGRESS:   1.02% | Batches Done: 31/3044 | ETA: 34.7 min
[+] PROGRESS:   1.05% | Batches Done: 32/3044 | ETA: 34.4 min
[+] PROGRESS:   1.08% | Batches Done: 33/3044 | ETA: 34.2 min
[+] PROGRESS:   1.12% | Batches Done: 34/3044 | ETA: 34.1 min
[+] PROGRESS:   1.15% | Batches Done: 35/3044 | ETA: 33.8 min
[+] PROGRESS:   1.18% | Batches Done: 36/3044 | ETA: 33.8 min
[+] PROGRESS:   1.22% | Batches Done: 37/3044 | ETA: 33.5 min
[+] PROGRESS:   1.25% | Batches Done: 38/3044 | ETA: 33.5 min
[+] PROGRESS:   1.28% | Batches Done: 39/3044 | ETA: 33.3 min
[+] PROGRESS:   1.31% | Batches Done: 40/3044 | ETA: 34.1 min
[+] PROGRESS:   1.35% | Batches Done: 41/3044 | ETA: 33.8 min
[+] PROGRESS:   1.38% | Batches Done: 42/3044 | ETA: 33.7 min
[+] PROGRESS:   1.41% | Batches Done: 43/3044 | ETA: 33.5 min
[+] PROGRESS:   1.45% | Batches Done: 44/3044 | ETA: 33.5 min
[+] PROGRESS:   1.48% | Batches Done: 45/3044 | ETA: 33.3 min
[+] PROGRESS:   1.51% | Batches Done: 46/3044 | ETA: 33.1 min
[+] PROGRESS:   1.54% | Batches Done: 47/3044 | ETA: 33.1 min
[+] PROGRESS:   1.58% | Batches Done: 48/3044 | ETA: 33.0 min
[+] PROGRESS:   1.61% | Batches Done: 49/3044 | ETA: 33.6 min
[+] PROGRESS:   1.64% | Batches Done: 50/3044 | ETA: 33.5 min
[+] PROGRESS:   1.68% | Batches Done: 51/3044 | ETA: 33.5 min
[+] PROGRESS:   1.71% | Batches Done: 52/3044 | ETA: 33.3 min
[+] PROGRESS:   1.74% | Batches Done: 53/3044 | ETA: 33.2 min
[+] PROGRESS:   1.77% | Batches Done: 54/3044 | ETA: 33.1 min
[+] PROGRESS:   1.81% | Batches Done: 55/3044 | ETA: 33.0 min
[+] PROGRESS:   1.84% | Batches Done: 56/3044 | ETA: 32.9 min
[+] PROGRESS:   1.87% | Batches Done: 57/3044 | ETA: 32.9 min
[+] PROGRESS:   1.91% | Batches Done: 58/3044 | ETA: 33.5 min
[+] PROGRESS:   1.94% | Batches Done: 59/3044 | ETA: 33.4 min
[+] PROGRESS:   1.97% | Batches Done: 60/3044 | ETA: 33.3 min
[+] PROGRESS:   2.00% | Batches Done: 61/3044 | ETA: 33.3 min
[+] PROGRESS:   2.04% | Batches Done: 62/3044 | ETA: 33.1 min
[+] PROGRESS:   2.07% | Batches Done: 63/3044 | ETA: 33.0 min
[+] PROGRESS:   2.10% | Batches Done: 64/3044 | ETA: 33.0 min
[+] PROGRESS:   2.14% | Batches Done: 65/3044 | ETA: 32.9 min
[+] PROGRESS:   2.17% | Batches Done: 66/3044 | ETA: 32.9 min
[+] PROGRESS:   2.20% | Batches Done: 67/3044 | ETA: 33.3 min
[+] PROGRESS:   2.23% | Batches Done: 68/3044 | ETA: 33.3 min
[+] PROGRESS:   2.27% | Batches Done: 69/3044 | ETA: 33.2 min
